region,country,year,population_m,donor_actual_total,donor_actual_dbd,donor_actual_dcd,donor_utilized_total,donor_utilized_dbd,donor_utilized_dcd,tx_kidney_deceased,tx_kidney_living,tx_kidney_total,tx_liver_deceased,tx_liver_domino,tx_liver_living,tx_liver_total,tx_heart_total,tx_lung_deceased,tx_lung_living,tx_lung_total,tx_pancreas_total,tx_kidneypancreas_total,tx_smallbowel_total
Eastern Mediterranean,Afghanistan,2000,22.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eastern Mediterranean,Afghanistan,2001,22.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eastern Mediterranean,Afghanistan,2002,23.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eastern Mediterranean,Afghanistan,2003,23.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eastern Mediterranean,Afghanistan,2004,24.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eastern Mediterranean,Afghanistan,2005,29.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eastern Mediterranean,Afghanistan,2006,31.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eastern Mediterranean,Afghanistan,2007,32.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eastern Mediterranean,Afghanistan,2008,28.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eastern Mediterranean,Afghanistan,2009,28.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eastern Mediterranean,Afghanistan,2010,29.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eastern Mediterranean,Afghanistan,2011,32.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eastern Mediterranean,Afghanistan,2012,33.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eastern Mediterranean,Afghanistan,2013,30.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eastern Mediterranean,Afghanistan,2014,31.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Europe,Albania,2000,3.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Europe,Albania,2001,3.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Europe,Albania,2002,3.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Europe,Albania,2003,3.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Europe,Albania,2004,3.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Europe,Albania,2005,3.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Europe,Albania,2006,3.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Europe,Albania,2007,3.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Europe,Albania,2008,3.2,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Europe,Albania,2009,3.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Europe,Albania,2010,3.2,0,0,0,NA,NA,NA,0,2,2,0,0,0,0,0,NA,NA,0,0,0,0
Europe,Albania,2011,3.2,0,0,0,0,0,0,0,9,9,0,0,0,0,0,0,0,0,0,0,0
Europe,Albania,2012,3.2,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0
Europe,Albania,2013,3.2,NA,NA,NA,NA,NA,NA,NA,9,9,NA,NA,3,3,NA,NA,NA,NA,NA,NA,NA
Europe,Albania,2014,3.2,0,0,0,NA,NA,NA,0,9,9,0,NA,3,3,NA,NA,NA,NA,NA,NA,NA
Africa,Algeria,2000,31.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Africa,Algeria,2001,30.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Africa,Algeria,2002,31.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Africa,Algeria,2003,31.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Africa,Algeria,2004,32.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Africa,Algeria,2005,32.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Africa,Algeria,2006,33.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Africa,Algeria,2007,33.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Africa,Algeria,2008,34.4,NA,NA,NA,NA,NA,NA,NA,112,112,NA,NA,3,3,NA,NA,NA,NA,NA,NA,NA
Africa,Algeria,2009,34.9,0,0,0,NA,NA,NA,0,105,105,0,0,5,5,0,NA,NA,0,NA,0,0
Africa,Algeria,2010,35.4,1,NA,NA,NA,NA,NA,2,96,98,0,0,6,6,0,NA,NA,0,NA,0,0
Africa,Algeria,2011,36,0,0,0,NA,NA,NA,0,124,124,0,0,6,6,0,0,0,0,0,0,0
Africa,Algeria,2012,36.5,1,1,0,NA,NA,NA,2,117,119,0,0,2,2,0,0,0,0,0,0,0
Africa,Algeria,2013,39.2,0,0,0,0,0,0,0,137,137,0,0,1,1,0,0,0,0,0,0,0
Africa,Algeria,2014,39.9,1,1,0,1,1,0,2,168,170,0,0,1,1,0,0,0,0,0,0,0
America,Argentina,2000,37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
America,Argentina,2001,37.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
America,Argentina,2002,37.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
America,Argentina,2003,38.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
America,Argentina,2004,38.9,403,403,NA,NA,NA,NA,573,188,761,197,NA,50,247,73,NA,NA,31,9,9,NA
America,Argentina,2005,38.7,407,407,NA,NA,NA,NA,607,216,823,208,NA,43,251,NA,NA,NA,20,6,6,NA
America,Argentina,2006,39.1,462,NA,NA,NA,NA,NA,662,188,850,236,NA,NA,236,83,NA,NA,NA,29,29,NA
America,Argentina,2007,39.5,486,486,NA,NA,NA,NA,714,153,867,247,NA,21,268,83,NA,NA,24,70,68,6
America,Argentina,2008,39.9,519,NA,NA,NA,NA,NA,753,207,960,247,NA,33,280,100,NA,NA,32,85,77,8
America,Argentina,2009,40.3,500,500,0,NA,NA,NA,839,212,1051,245,2,20,265,93,NA,NA,30,NA,67,3
America,Argentina,2010,40.7,583,583,0,NA,NA,NA,846,236,1082,289,1,33,323,72,NA,NA,42,NA,58,7
America,Argentina,2011,40.8,604,604,0,NA,NA,NA,848,249,1097,332,0,32,364,106,26,0,26,75,65,5
America,Argentina,2012,41.1,630,630,0,NA,NA,NA,901,283,1184,357,0,26,383,111,32,0,32,68,63,5
America,Argentina,2013,41.4,568,568,0,516,516,0,874,400,1274,323,0,29,352,100,36,0,36,76,74,6
America,Argentina,2014,41.8,555,555,0,507,507,0,897,380,1277,327,0,34,361,101,42,0,42,69,63,2
Europe,Armenia,2000,3.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Europe,Armenia,2001,3.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Europe,Armenia,2002,3.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Europe,Armenia,2003,3.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Europe,Armenia,2004,3.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Europe,Armenia,2005,3,0,0,0,NA,NA,NA,45,37,82,0,NA,0,0,NA,NA,NA,NA,0,NA,0
Europe,Armenia,2006,3,NA,NA,NA,NA,NA,NA,NA,14,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Europe,Armenia,2007,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Europe,Armenia,2008,3,NA,NA,NA,NA,NA,NA,NA,8,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Europe,Armenia,2009,3.1,NA,NA,NA,NA,NA,NA,NA,8,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Europe,Armenia,2010,3.1,NA,NA,NA,NA,NA,NA,NA,8,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Europe,Armenia,2011,3.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Europe,Armenia,2012,3.1,0,0,0,NA,NA,NA,0,9,9,0,0,0,0,0,0,0,0,0,0,0
Europe,Armenia,2013,3,0,0,0,0,0,0,0,9,9,0,0,0,0,0,0,0,0,0,0,0
Europe,Armenia,2014,3,0,0,0,0,0,0,0,9,9,0,0,0,0,0,0,0,0,0,0,0
Western Pacific,Australia,2000,18.9,195,195,NA,NA,NA,NA,350,178,528,149,NA,NA,149,57,NA,NA,90,26,26,NA
Western Pacific,Australia,2001,19.3,180,180,NA,NA,NA,NA,328,198,526,120,0,0,120,68,NA,NA,74,21,21,0
Western Pacific,Australia,2002,19.5,206,206,NA,NA,NA,NA,374,238,612,152,0,1,153,87,NA,NA,99,25,24,0
Western Pacific,Australia,2003,19.7,179,178,1,NA,NA,NA,325,217,542,136,NA,1,137,80,NA,NA,70,31,25,NA
Western Pacific,Australia,2004,19.9,218,214,4,NA,NA,NA,405,246,651,176,NA,1,177,78,NA,NA,98,28,23,NA
Western Pacific,Australia,2005,20.2,204,195,9,NA,NA,NA,373,246,619,164,NA,NA,164,NA,NA,NA,84,33,30,NA
Western Pacific,Australia,2006,20.4,NA,NA,NA,NA,NA,NA,368,273,641,161,0,3,164,76,NA,NA,98,34,33,0
Western Pacific,Australia,2007,20.6,198,179,19,NA,NA,NA,342,268,610,147,NA,4,151,62,NA,NA,79,247,196,NA
Western Pacific,Australia,2008,21,259,236,23,NA,NA,NA,424,352,776,192,NA,3,195,85,NA,NA,115,32,32,NA
Western Pacific,Australia,2009,21.3,247,205,42,NA,NA,NA,446,324,770,185,NA,2,187,61,NA,NA,114,NA,36,NA
Western Pacific,Australia,2010,21.5,302,235,67,NA,NA,NA,548,293,841,204,NA,4,208,68,NA,NA,123,NA,33,1
Western Pacific,Australia,2011,22.6,337,251,86,245,84,329,570,255,825,213,0,2,215,66,159,NA,159,26,26,0
Western Pacific,Australia,2012,22.9,354,277,77,NA,NA,NA,606,237,843,227,0,4,231,76,148,0,148,38,38,1
Western Pacific,Australia,2013,23.3,391,305,86,362,285,77,630,251,881,248,1,1,250,79,169,0,169,33,33,0
Europe,Austria,2000,8.2,194,194,0,NA,NA,NA,357,37,394,151,NA,NA,151,87,NA,NA,59,30,30,6
Europe,Austria,2001,8.1,191,191,NA,NA,NA,NA,362,52,414,126,0,2,128,66,NA,NA,57,27,19,1
Europe,Austria,2002,8.1,195,195,NA,NA,NA,NA,368,42,410,151,0,4,155,72,NA,NA,90,52,35,5
Europe,Austria,2003,8.1,189,187,2,NA,NA,NA,336,37,373,141,NA,6,147,64,NA,NA,88,33,33,NA
Europe,Austria,2004,8.1,185,182,3,NA,NA,NA,348,38,386,126,NA,6,132,64,NA,NA,78,35,30,NA
Europe,Austria,2005,8.2,203,201,2,NA,NA,NA,371,35,406,133,NA,3,136,NA,NA,NA,90,31,26,NA
Europe,Austria,2006,8.2,207,203,4,NA,NA,NA,374,57,431,137,0,2,139,57,NA,NA,102,39,27,0
Europe,Austria,2007,8.2,185,180,5,NA,NA,NA,336,62,398,116,NA,3,119,57,NA,NA,82,25,20,NA
Europe,Austria,2008,8.4,172,169,3,NA,NA,NA,303,58,361,112,0,4,116,62,NA,NA,119,34,31,NA
Europe,Austria,2009,8.4,214,213,1,NA,209,1,363,69,432,146,0,7,153,73,NA,NA,109,NA,32,NA
Europe,Austria,2010,8.4,196,196,NA,NA,NA,NA,348,59,407,139,0,2,141,69,NA,NA,114,NA,27,NA
Europe,Austria,2011,8.4,205,199,6,NA,NA,NA,360,55,415,126,0,2,128,51,120,NA,120,16,16,NA
Europe,Austria,2012,8.4,198,194,4,NA,NA,NA,360,63,423,126,0,0,126,62,124,0,124,14,12,0
Europe,Austria,2013,8.5,208,203,5,187,184,3,347,74,421,130,0,2,132,64,128,0,128,19,16,0
Europe,Austria,2014,8.5,212,206,6,207,201,6,375,71,446,136,0,6,142,68,134,0,134,21,19,0
Europe,Azerbaijan,2000,7.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Europe,Azerbaijan,2001,8.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Europe,Azerbaijan,2002,8.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Europe,Azerbaijan,2003,8.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Europe,Azerbaijan,2004,8.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Europe,Azerbaijan,2005,8.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Europe,Azerbaijan,2006,8.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Europe,Azerbaijan,2007,8.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Europe,Azerbaijan,2008,8.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Europe,Azerbaijan,2009,8.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Europe,Azerbaijan,2010,8.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Europe,Azerbaijan,2011,9.3,0,0,0,0,0,0,0,52,52,0,NA,31,31,0,0,0,0,0,0,0
Europe,Azerbaijan,2012,9.4,0,0,0,0,0,0,0,45,45,0,0,16,16,0,0,0,0,0,0,0
Europe,Azerbaijan,2013,9.4,0,0,0,0,0,0,0,66,66,NA,NA,21,21,0,0,0,0,0,0,0
Europe,Azerbaijan,2014,9.5,0,0,0,0,0,0,0,95,95,0,0,16,16,0,0,0,0,0,0,0
Eastern Mediterranean,Bahrain,2000,0.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eastern Mediterranean,Bahrain,2001,0.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eastern Mediterranean,Bahrain,2002,0.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eastern Mediterranean,Bahrain,2003,0.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eastern Mediterranean,Bahrain,2004,0.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA
Eastern Mediterranean,Bahrain,2005,0.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eastern Mediterranean,Bahrain,2006,0.7,NA,NA,0,NA,NA,NA,2,NA,2,0,0,0,0,0,NA,NA,0,0,0,0
Eastern Mediterranean,Bahrain,2007,0.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eastern Mediterranean,Bahrain,2008,0.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eastern Mediterranean,Bahrain,2009,0.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eastern Mediterranean,Bahrain,2010,0.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eastern Mediterranean,Bahrain,2011,1.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eastern Mediterranean,Bahrain,2012,1.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eastern Mediterranean,Bahrain,2013,1.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eastern Mediterranean,Bahrain,2014,1.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
South-East Asia,Bangladesh,2000,129.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
South-East Asia,Bangladesh,2001,140.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
South-East Asia,Bangladesh,2002,143.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
South-East Asia,Bangladesh,2003,146.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
South-East Asia,Bangladesh,2004,149.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
South-East Asia,Bangladesh,2005,141.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
South-East Asia,Bangladesh,2006,144.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
South-East Asia,Bangladesh,2007,147.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
South-East Asia,Bangladesh,2008,161.3,NA,NA,NA,NA,NA,NA,NA,28,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
South-East Asia,Bangladesh,2009,162.2,NA,NA,NA,NA,NA,NA,NA,28,28,0,NA,0,0,0,NA,NA,0,NA,0,0
South-East Asia,Bangladesh,2010,164.4,NA,NA,NA,NA,NA,NA,NA,28,28,0,NA,0,0,0,NA,NA,0,NA,0,0
South-East Asia,Bangladesh,2011,150.5,NA,NA,NA,NA,NA,NA,NA,28,28,0,NA,0,0,0,NA,NA,0,NA,0,0
South-East Asia,Bangladesh,2012,152.4,NA,NA,NA,NA,NA,NA,NA,28,28,0,NA,0,NA,0,NA,NA,0,NA,0,0
South-East Asia,Bangladesh,2013,156.6,NA,NA,NA,NA,NA,NA,NA,28,28,0,NA,0,NA,0,NA,NA,0,NA,0,0
South-East Asia,Bangladesh,2014,158.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
America,Barbados,2000,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
America,Barbados,2001,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
America,Barbados,2002,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
America,Barbados,2003,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
America,Barbados,2004,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
America,Barbados,2005,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
America,Barbados,2006,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
America,Barbados,2007,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
America,Barbados,2008,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
America,Barbados,2009,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
America,Barbados,2010,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
America,Barbados,2011,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
America,Barbados,2012,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
America,Barbados,2013,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
America,Barbados,2014,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Europe,Belarus,2000,10.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Europe,Belarus,2001,10.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Europe,Belarus,2002,10.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Europe,Belarus,2003,9.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Europe,Belarus,2004,9.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Europe,Belarus,2005,9.8,4,4,NA,NA,NA,NA,8,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Europe,Belarus,2006,9.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Europe,Belarus,2007,9.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Europe,Belarus,2008,9.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Europe,Belarus,2009,9.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Europe,Belarus,2010,9.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Europe,Belarus,2011,9.6,96,96,0,NA,NA,NA,169,6,175,41,0,2,43,21,0,0,0,2,2,0
Europe,Belarus,2012,9.5,106,106,0,NA,NA,NA,174,27,201,50,0,2,52,21,0,0,NA,0,0,NA
Europe,Belarus,2013,9.4,170,170,0,165,165,0,286,24,310,62,0,4,66,40,0,0,0,3,3,0
Europe,Belarus,2014,9.3,165,165,0,160,160,0,263,23,286,63,0,5,68,45,1,0,1,2,2,0
Europe,Belgium,2000,10.2,256,256,NA,NA,NA,NA,448,9,457,136,NA,NA,136,90,NA,NA,37,32,32,NA
Europe,Belgium,2001,10.3,222,222,NA,NA,NA,NA,358,13,371,174,0,27,201,84,NA,NA,46,39,21,NA
Europe,Belgium,2002,10.3,223,223,NA,NA,NA,NA,334,15,349,196,2,30,226,85,NA,NA,49,86,20,NA
Europe,Belgium,2003,10.3,237,223,14,NA,NA,NA,413,10,423,239,2,40,279,90,NA,NA,69,29,29,NA
Europe,Belgium,2004,10.3,227,222,5,NA,NA,NA,353,19,372,204,1,25,229,77,NA,NA,63,23,18,NA
Europe,Belgium,2005,10.4,248,238,10,NA,NA,NA,358,32,390,190,3,24,214,NA,NA,NA,63,24,20,NA
Europe,Belgium,2006,10.4,282,249,33,NA,NA,NA,445,41,486,218,1,18,236,77,NA,NA,87,24,20,0
Europe,Belgium,2007,10.5,298,259,39,NA,NA,NA,449,42,491,241,1,26,267,74,NA,NA,93,18,16,NA
Europe,Belgium,2008,10.5,274,232,42,NA,NA,NA,442,45,487,217,0,13,230,75,NA,NA,82,18,16,NA
Europe,Belgium,2009,10.6,285,224,61,NA,216,60,428,49,477,222,2,23,245,68,NA,NA,90,NA,12,NA
Europe,Belgium,2010,10.7,221,171,50,NA,NA,NA,404,49,453,210,0,33,243,68,NA,NA,114,NA,22,NA
Europe,Belgium,2011,10.8,331,267,64,NA,NA,NA,474,40,514,262,2,35,299,51,111,NA,111,14,11,NA
Europe,Belgium,2012,10.8,326,255,71,NA,NA,NA,480,57,537,250,2,30,282,77,129,0,129,13,10,NA
Europe,Belgium,2013,11.1,324,246,78,306,241,65,437,63,500,250,0,42,292,75,101,0,101,8,6,0
Europe,Belgium,2014,11.1,299,216,83,282,NA,NA,414,67,481,219,2,40,261,82,103,0,103,11,7,4
